iter	RMSE
0	0.6026068958
1	0.6005940173
2	0.5983891036
3	0.5950789862
4	0.5928862462
5	0.590549236
6	0.589047481
7	0.5862955128
8	0.584064362
9	0.5816919834
10	0.5796255034
11	0.577501163
12	0.5748917463
13	0.5716023319
14	0.568511869
15	0.5666180797
16	0.563607868
17	0.5617623672
18	0.5600922005
19	0.557491252
20	0.5560511539
21	0.5534348489
22	0.5498648291
23	0.5478150577
24	0.5470164296
25	0.5456994228
26	0.5433770051
27	0.5422752369
28	0.5400948603
29	0.5387307227
30	0.5374841085
31	0.5346023711
32	0.5324491423
33	0.5303162596
34	0.5296507095
35	0.5290508351
36	0.5266594523
37	0.523988313
38	0.5225944383
39	0.5209472531
40	0.5185687108
41	0.516541134
42	0.5141628683
43	0.5129677529
44	0.5106502596
45	0.5086377091
46	0.5074656219
47	0.5049720758
48	0.503749613
49	0.5020849391
50	0.4995159554
51	0.4972281417
52	0.4953402386
53	0.4944610048
54	0.4935999646
55	0.4928937465
56	0.4907139084
57	0.48934347
58	0.4879912704
59	0.4865827095
60	0.4848413906
61	0.4828425393
62	0.4821822494
63	0.4799155772
64	0.4776452231
65	0.4766817707
66	0.4748554809
67	0.4737639328
68	0.4730000392
69	0.472215663
70	0.4711047094
71	0.4698997637
72	0.4674443119
73	0.4659331189
74	0.4643233313
75	0.4639005255
76	0.4621038918
77	0.4606789518
78	0.459208191
79	0.4573224494
80	0.4568960638
81	0.455092445
82	0.4531600917
83	0.451597691
84	0.449807961
85	0.449039094
86	0.4480786481
87	0.4471604139
88	0.4459337602
89	0.4452282542
90	0.4436958133
91	0.4424762199
92	0.4424697277
93	0.4396933236
94	0.4380541374
95	0.4369893139
96	0.4361167772
97	0.4352745338
98	0.4338185902
99	0.4320153799
100	0.4309774593
101	0.4292791724
102	0.4281490931
103	0.4271230156
104	0.425447663
105	0.4245198721
106	0.4233376984
107	0.4219552787
108	0.4209531638
109	0.4191618391
110	0.4179403958
111	0.4162807979
112	0.4146986859
113	0.4133682265
114	0.4117179931
115	0.4106992088
116	0.4099147259
117	0.40915725
118	0.408482979
119	0.4067130143
120	0.4065289315
121	0.4059965724
122	0.404659163
123	0.4038309848
124	0.4026281849
125	0.4012117905
126	0.4002040811
127	0.399595495
128	0.3989345192
129	0.3977460465
130	0.3965994783
131	0.3952428464
132	0.3936894795
133	0.3923329072
134	0.390527096
135	0.3885314912
136	0.3877497642
137	0.3873347553
138	0.38666098
139	0.3860177006
140	0.3840797175
141	0.3835026094
142	0.3823351952
143	0.3811039937
144	0.379960537
145	0.3789551773
146	0.3779580647
147	0.3762423428
148	0.3749814387
149	0.3743161558
150	0.3738272063
151	0.3728755364
152	0.371892768
153	0.3712890425
154	0.3700213305
155	0.3685394356
156	0.3667773411
157	0.3659754843
158	0.3652260276
159	0.363794908
160	0.3633320621
161	0.3624954817
162	0.3609256579
163	0.3590864663
164	0.3580218792
165	0.356821657
166	0.3556359024
167	0.3544843741
168	0.3538466747
169	0.3524986205
170	0.3514381919
171	0.3505948093
172	0.3496961364
173	0.3489401118
174	0.3480841015
175	0.3468036254
176	0.3457139993
177	0.3448037794
178	0.3437801222
179	0.3434378348
180	0.3430509201
181	0.3420754567
182	0.340286211
183	0.3398554733
184	0.3394436531
185	0.3390739639
186	0.3381106437
187	0.3375026361
188	0.3362711021
189	0.335271766
190	0.3337122928
191	0.3321821015
192	0.331224633
193	0.3304591958
194	0.3294782616
195	0.3286941019
196	0.3278704349
197	0.3263361397
198	0.325536569
199	0.3246240934
200	0.3240975429
201	0.3223107057
202	0.3215996163
203	0.3203585942
204	0.3194061851
205	0.3183678452
206	0.3174967475
207	0.3167603645
208	0.3157361746
209	0.3149947318
210	0.3142078103
211	0.3134000684
212	0.3125750394
213	0.3117147377
214	0.310633401
215	0.309465272
216	0.308360033
217	0.3077218639
218	0.3067971928
219	0.3057695904
220	0.3053440046
221	0.304013579
222	0.303320208
223	0.302578258
224	0.3019071892
225	0.3008013725
226	0.2995650505
227	0.2989861058
228	0.2983032027
229	0.297400949
230	0.2966284813
231	0.295709554
232	0.2953358495
233	0.2945836687
234	0.2936883527
235	0.2927348684
236	0.2916965397
237	0.2905356189
238	0.2898534185
239	0.2889686009
240	0.2881408066
241	0.2872185153
242	0.2865282848
243	0.2857559794
244	0.2850173909
245	0.2842653369
246	0.2833461023
247	0.2830988937
248	0.2822076259
249	0.2813472787
250	0.2802871223
251	0.2796287105
