"a_etage","cheminee","classification_f","cuve_eau","douche_wc","etat_general","garage_ferme","gardien_securite","groupe_electrogene","loyer_mensuel","meuble","nombre_chambres","nombre_salles_eau","piscine","quartier","superficie","surface_terrain","terrasse_balcon","type_d_acces","type_logement"
"False","True","F6","False","interieur","bon","False","False","False","4000000","False","5","2","False","Ivandry","0","600","True","voiture_avec_parking","Villa"
"False","False","F5","False","interieur","bon","False","True","False","9000000","True","4","2","True","Ambohimanambola Firaisana","0","0","True","voiture_avec_parking","Villa"
"False","False","F4","False","interieur","bon","False","False","False","1700000","False","3","2","False","Ambohimanambola Firaisana","0","0","True","voiture_avec_parking","Villa"
"False","False","F6","False","interieur","bon","False","False","False","8500000","False","7","2","False","Ambatobe","0","0","False","voiture_avec_parking","Villa"
"False","False","F5","False","interieur","bon","True","False","False","3200000","True","4","2","False","Ambatobe","0","0","True","voiture_avec_parking","Villa"
"True","False","F5","True","interieur","bon","False","True","True","7000000","False","4","2","True","Ambohimanambola Firaisana","0","0","True","voiture_avec_parking","Villa"
"False","False","F6","True","interieur","bon","False","False","False","5400000","False","5","5","False","Ambatobe","0","0","True","voiture_avec_parking","Villa"
"False","True","F4","False","interieur","bon","False","False","False","3500000","False","3","2","False","Ambohibao","0","0","True","voiture_avec_parking","Villa"
"False","False","F4","True","interieur","bon","False","True","True","7500000","False","3","3","False","Andohalo","0","0","True","voiture_avec_parking","Appartement"
"False","False","F5","True","interieur","bon","False","False","False","6000000","False","4","3","False","Ambatobe","0","0","True","voiture_avec_parking","Villa"
"False","False","F4","False","interieur","bon","True","False","False","4000000","True","3","2","False","Ambatolampy Tsimahafotsy","0","0","True","voiture_avec_parking","Villa"
"False","True","F5","False","interieur","bon","False","False","False","1400000","False","4","2","False","Ambohimirary","0","0","False","voiture_avec_parking","Villa"
"False","False","F3","False","interieur","bon","False","True","False","2500000","False","2","1","False","Ankerana Ankadindramamy","0","0","False","voiture_avec_parking","Appartement"
"False","False","F2","False","interieur","bon","False","False","False","1300000","True","1","1","False","Mahazoarivo","0","0","False","voiture_avec_parking","Appartement"
"False","True","F3","False","interieur","bon","True","True","False","5600000","False","2","1","False","Alarobia","0","0","True","voiture_avec_parking","Villa"
"False","True","F4","False","interieur","bon","False","False","False","900000","True","3","1","False","Ambohipo Tanana Ampahateza And","0","0","True","voiture_avec_parking","Appartement"
"False","False","F4","True","interieur","bon","False","False","True","2400000","False","3","2","False","Ankerana Ankadindramamy","0","0","True","sans","Appartement"
"False","True","F6","False","interieur","bon","False","False","False","3000000","False","4","2","False","Andohanimandroseza Ambohibat","0","0","True","voiture_avec_parking","Villa"
"False","False","F2","False","interieur","bon","False","False","False","1500000","False","1","1","False","Ambatolampy Tsimahafotsy","0","0","True","voiture_avec_parking","Appartement"
"False","False","F4","False","interieur","bon","False","True","False","2500000","True","3","2","False","Mahamasina Atsimo","0","0","False","voiture_avec_parking","Appartement"
"False","False","F4","True","interieur","bon","False","True","True","10000000","False","3","4","True","Andrefan'ankadimbahoaka","0","0","True","voiture_avec_parking","Villa"
"False","True","F6","False","interieur","bon","True","True","False","7500000","False","5","5","False","Tsarasaotra","0","0","True","voiture_avec_parking","Villa"
"False","False","F5","False","interieur","bon","True","False","False","4275000","False","4","2","True","Ampitatafika Vaovao","0","0","True","voiture_avec_parking","Villa"
"False","False","F4","False","interieur","bon","False","False","False","800000","False","3","1","False","Ifarihy","0","0","False","voiture_avec_parking","Appartement"
"False","True","F5","False","interieur","bon","True","False","False","6000000","False","4","3","False","Ambatobe","0","0","True","voiture_avec_parking","Villa"
"False","False","F2","False","interieur","bon","False","False","False","1500000","False","1","1","False","Soarano Ambondrona","0","0","True","voiture_avec_parking","Appartement"
"False","False","F3","False","interieur","bon","False","False","False","2500000","False","2","1","False","Ambohimiandra Fenomanana Antsa","0","0","True","voiture_avec_parking","Appartement"
"False","False","F4","False","interieur","bon","False","True","False","2500000","False","3","2","False","Mandrosoa Ivato","0","0","False","voiture_avec_parking","Appartement"
"False","False","F5","False","interieur","bon","False","False","False","600000","False","4","1","False","Ambatomainty","0","0","False","voiture_avec_parking","Appartement"
"False","False","F3","True","interieur","bon","False","True","True","3500000","False","2","1","False","Andohalo","0","0","True","voiture_avec_parking","Appartement"
"False","False","F3","False","interieur","bon","False","False","False","1500000","False","2","2","False","Ambohimanandray","0","0","False","voiture_avec_parking","Appartement"
"False","False","F3","False","interieur","bon","False","False","False","800000","False","2","1","False","Mahazoarivo","0","0","False","voiture","Appartement"
"False","False","F4","False","interieur","bon","False","True","False","1500000","False","3","1","False","Ambohimanandray","0","0","False","voiture_avec_parking","Appartement"
"False","False","F3","False","interieur","bon","False","True","False","3000000","True","2","2","True","Andrefan'ankadimbahoaka","0","0","True","voiture_avec_parking","Appartement"
"False","False","F2","False","interieur","bon","False","True","False","2000000","True","1","1","True","Ankadindratombo","0","0","True","sans","Appartement"
"False","True","F6","False","interieur","bon","False","False","False","20000000","True","5","5","True","Ambatobe","0","0","True","voiture_avec_parking","Appartement"
"False","False","F2","True","interieur","bon","False","True","False","4000000","False","2","1","False","Andohalo","0","0","True","voiture_avec_parking","Appartement"
"False","False","F4","False","interieur","bon","False","False","False","1500000","True","3","1","False","Ambodivona","0","0","False","voiture_avec_parking","Appartement"
"False","False","F3","False","interieur","bon","False","True","False","1800000","True","2","1","False","Ambohibao","0","0","False","sans","Appartement"
"False","True","F0","False","interieur","bon","False","False","False","7000000","False","0","3","False","Tsiadana","0","0","True","voiture_avec_parking","Maison"
"True","True","F5","False","interieur","bon","False","True","False","10000000","False","4","3","True","Ambatobe","0","0","True","voiture_avec_parking","Villa"
"False","False","F3","False","interieur","bon","False","True","False","800000","False","2","1","False","Andohanimandroseza Ambohibat","0","0","False","voiture_avec_parking","Appartement"
"False","False","F2","False","interieur","bon","True","False","False","1750000","True","1","1","False","Antanimena","0","0","False","voiture_avec_parking","Appartement"
"False","False","F4","False","interieur","bon","True","False","False","1300000","False","3","1","False","Ambohimanarina","0","0","True","voiture_avec_parking","Appartement"
"False","False","F2","False","interieur","bon","False","True","False","3700000","True","1","1","False","Faravohitra Mandrosoa","0","0","False","sans","Appartement"
"False","False","F6","False","interieur","bon","False","True","False","10000000","False","4","4","True","Mandroseza Afovoany Mandroseza","0","0","True","voiture","Villa"
"False","False","F3","False","interieur","bon","False","True","False","6900000","True","2","1","False","Ambohijatovo","0","0","True","voiture_avec_parking","Appartement"
"False","False","F4","True","interieur","bon","True","False","False","1800000","False","3","1","False","Mandrosoa Ivato","0","0","True","voiture_avec_parking","Villa"
"False","False","F6","False","interieur","bon","False","False","False","1200000","False","5","1","False","Soavinimerina","0","0","True","voiture_avec_parking","Villa"
"False","False","F0","False","interieur","bon","True","False","False","600000","False","1","1","False","Andohalo","0","0","True","voiture_avec_parking","Appartement"
"False","False","F3","False","interieur","bon","False","False","False","1300000","False","2","1","False","Ampandrana Ankadivato","0","0","True","voiture_avec_parking","Appartement"
"False","False","F3","False","interieur","bon","False","False","False","1600000","False","2","1","False","Ambatomitsangana","0","0","False","voiture_avec_parking","Appartement"
"False","True","F6","False","interieur","bon","False","True","False","12500000","False","5","3","True","Ambohibao","0","0","True","voiture_avec_parking","Villa"
"False","True","F5","False","interieur","bon","True","False","False","3000000","False","4","2","False","Ampandrana Ankadivato","0","0","True","voiture_avec_parking","Appartement"
"False","False","F4","True","interieur","bon","True","False","False","1000000","False","4","1","False","Amboditsiry","0","0","False","voiture_avec_parking","Appartement"
"False","True","F4","False","interieur","bon","False","False","False","1100000","False","3","2","False","Ambatobe","0","0","False","voiture_avec_parking","Appartement"
"True","False","F5","False","interieur","bon","False","True","False","3000000","False","4","2","False","Avaradoha","0","0","True","voiture_avec_parking","Villa"
"False","False","F3","False","interieur","bon","False","False","False","2500000","False","2","1","False","Ambatobe","0","0","False","voiture","Villa"
"True","False","F6","True","interieur","bon","False","True","False","6600000","False","5","3","True","Ambatobe","0","0","True","voiture_avec_parking","Appartement"
"False","False","F5","False","interieur","bon","False","True","True","5750000","False","4","3","False","Tanjombato Iraitsimivaky","0","0","True","voiture_avec_parking","Villa"
"False","False","F2","True","interieur","bon","False","True","True","3750000","True","1","1","False","Analamahitsy Cite","0","0","True","voiture_avec_parking","Appartement"
"False","False","F4","False","interieur","bon","False","True","False","5500000","True","3","3","False","Ilafy","0","0","True","voiture_avec_parking","Appartement"
"False","False","F4","True","interieur","bon","False","True","False","4800000","False","3","3","True","Ambatobe","0","0","True","voiture_avec_parking","Appartement"
"False","False","F4","False","interieur","bon","False","False","False","2500000","False","3","1","False","Ampandrana Ankadivato","0","0","False","voiture_avec_parking","Appartement"
"False","True","F8","False","interieur","bon","False","False","False","6000000","False","8","2","False","Ankerana Ankadindramamy","0","0","True","voiture","Villa"
"False","False","F5","False","interieur","bon","False","True","False","4000000","False","4","2","False","Tanjombato Iraitsimivaky","0","0","True","voiture","Villa"
"False","False","F0","False","interieur","bon","False","False","False","1900000","False","5","2","False","Ambohimiandra Fenomanana Antsa","0","0","False","voiture_avec_parking","Appartement"
"False","False","F4","False","interieur","bon","True","False","False","1400000","False","3","1","False","Analamahitsy Tanana","0","0","True","voiture_avec_parking","Villa"
"False","False","F0","False","interieur","bon","False","False","False","800000","False","2","1","False","Ambatovinaky","0","0","False","sans","Appartement"
"False","False","F4","False","interieur","bon","False","False","False","3000000","False","3","2","False","Manazary","0","0","False","voiture_avec_parking","Villa"
"False","False","F0","False","interieur","bon","False","False","False","900000","True","1","1","False","Ankerana Ankadindramamy","0","0","True","voiture_avec_parking","Appartement"
"False","False","F5","False","interieur","bon","False","False","False","1800000","False","4","2","False","Ambatobe","0","0","True","voiture_avec_parking","Appartement"
"False","False","F5","True","interieur","bon","False","False","True","7500000","True","4","4","False","Ambatobe","0","0","True","voiture","Villa"
"False","False","F3","False","interieur","bon","False","False","False","500000","False","2","1","False","Betongolo","0","0","True","sans","Appartement"
"True","False","F5","False","interieur","bon","True","True","False","20000000","False","4","5","True","Ivandry","0","0","True","voiture_avec_parking","Villa"
"False","False","F2","False","interieur","bon","False","True","False","2000000","True","1","1","False","Ambohitsorohitra","0","0","True","voiture_avec_parking","Appartement"
"False","False","F4","True","interieur","bon","False","False","False","3000000","True","3","2","False","Ivato Aeroport","0","0","False","voiture_avec_parking","Villa"
"False","True","F5","False","interieur","bon","False","False","False","5000000","False","4","3","False","Ivandry","0","0","True","voiture_avec_parking","Villa"
"False","True","F5","True","interieur","bon","False","False","False","6250000","False","4","3","False","Soavimasoandro","0","0","True","voiture_avec_parking","Villa"
"False","False","F8","True","interieur","bon","False","False","True","7500000","True","3","3","False","Mangarano","0","0","False","voiture_avec_parking","Villa"
"False","True","F6","False","interieur","bon","False","False","False","7500000","False","5","3","False","Ambatobe","0","0","False","voiture","Villa"
"False","False","F4","False","interieur","bon","False","False","False","3000000","False","3","2","False","Ankerana Ankadindramamy","0","0","True","voiture","Villa"
"False","False","F4","True","interieur","bon","False","True","False","1400000","False","3","1","False","Andraisoro","0","0","True","voiture_avec_parking","Appartement"
"False","False","F4","False","interieur","bon","False","False","False","2000000","False","3","1","False","Soavimbahoaka","0","0","False","voiture_avec_parking","Appartement"
"True","False","F6","True","interieur","bon","False","False","False","2000000","False","5","2","False","Andraisoro","0","0","True","voiture_avec_parking","Appartement"
"False","False","F3","False","interieur","bon","False","True","False","1400000","False","2","1","False","Mahazoarivo","0","0","True","voiture_avec_parking","Appartement"
"True","False","F5","False","interieur","bon","True","False","False","1300000","False","4","1","False","Ambohijanaka","0","0","True","voiture_avec_parking","Villa"
"False","False","F5","False","interieur","bon","False","False","False","2000000","False","3","2","False","Ambohijanaka","0","0","True","voiture_avec_parking","Villa"
"False","False","F4","True","interieur","bon","False","True","True","4100000","True","3","2","True","Ilaivola","0","0","True","voiture_avec_parking","Appartement"
"False","False","F5","False","interieur","bon","False","True","False","2200000","False","4","2","False","Ambohimiandra Fenomanana Antsa","0","0","True","voiture_avec_parking","Appartement"
