id_quartier,Nom_Fokontany
1,Ambodisaha
2,Antentona
3,Ampanomahitsy
4,Ambodisiarivo
5,Antohibe
6,Soatsimeloka
7,Ambodin'isotry
8,Manjakazafy
9,Farahindra
10,Antanatanana
11,Analamahitsy
12,Ankazomasina
13,Tongoloina
14,Ambohipeno
15,Andraisoro
16,Ambatomaro
17,Tsaramasay
18,Anovorano
19,Ankadiefajoro
20,Ambatobe
21,Amparafara
22,Iarinarivo
23,Itaosy
24,Ambolamena
25,Ambodivona
26,Ambohitremo
27,Mandikanamana
28,Andringitana
29,Idilana
30,Andranomasina
31,Lohamandry
32,Sy
33,Ankadindambo
34,Antanamb
35,Ambanin'ampamarinana
36,Antanimena
37,Antalamohitra
38,Ambohimanantiana
39,Ambatofahavalo
40,Befelatanana
41,Ambohinanjakana
42,Ampasanimalo
43,Anjoma
44,Ambohimanandray
45,Tanana
46,Boina
47,Merimitatra
48,Andrefan'ankadimbahoaka
49,Ikianja
50,Miadampahonina
51,Belanitra
52,Ambohijorery
53,Ambohipanja
54,Ivoara
55,Botona
56,Imanja
57,Ampahimanga
58,Avaratetezana
59,Ambodiakondro
60,IIb
61,Ambanimaso
62,Fiadanana
63,Antsahamarina
64,Ankasina
65,Anjomakely
66,Akany
67,Tongarivo
68,Antandrokomby
69,Fiekena
70,Mahatsinjo
71,Faravohitra
72,Namorana
73,Soavimasoandro
74,Marianina
75,Ambohijanaka
76,Ampangabe
77,Tsarahasina
78,Fierenana
79,Iavoloha
80,Antamboho
81,Tanjondroa
82,(Ambohijatovo)
83,Ambodivondava
84,Sahalemaka
85,Bekiraro
86,Ambohidrazana
87,Ambohimirary
88,Ilanivato
89,Maroloha
90,Antovontany
91,Ambohipamonjy
92,Ambohibat
93,Anosivita
94,Ambatolokanga
95,Ambodivoanjo
96,Ambatomilona
97,Ambohitriniandriana
98,Ampanataovana
99,Ambahona
100,Antonta
101,Amberomanga
102,Ankorahotra
103,Ambohidratrimo
104,Andravako
105,Antongombato
106,Andohamandry
107,Manjakavaradrano
108,Ambohimitsinjorano
109,Mandialaza
110,Ampilanonana
111,Lovasoa
112,IIc
113,Ambodiala
114,Ambohitsiroa
115,Ambohimidasy
116,Andraharo
117,Ankadivato
118,IId
119,Andrononobe
120,Antaboaka
121,Malaho
122,Ankadinandriana
123,Ambodifasina
124,Antanetisoa
125,Avaratsena
126,Kelifaritra
127,Mandrosoa
128,Antaninandro
129,Amboaroy
130,Afovoany
131,Vatovaky
132,Antokontanitsara
133,Ampanobe
134,Ambatoroka
135,Mahitsy
136,Ambohimanga
137,Antanambao
138,Anosimanjaka
139,Ambaniala
140,Antsahalava
141,Andranosoa
142,Ambohitsimeloka
143,Malaza
144,Antokomaro
145,Ambohitanety
146,Ambohitsararay
147,Ankodondona
148,Analapanga
149,Avarabohitra
150,Manarintsoa
151,Faliary
152,Ankaditapaka
153,Tsilazaina
154,Andrefandrano
155,Ampatsakana
156,Fiadanankely
157,Andrefankady
158,Talata
159,Atsinanana
160,Antsahatsiresy
161,Iraitsimivaky
162,Fitroafana
163,Amboanjobe
164,Mahia
165,Miadamanjaka
166,Ambohijato
167,Anjanadrambony
168,Ambodiamberivatry
169,Andriampamaky
170,Ambohimandray
171,Antohomadinika
172,Avaratrimangabe
173,Lehilava
174,Ambohipiara
175,Merinavaratra
176,Ankerakely
177,Mahaimandry
178,Androndrakely
179,Volonondry
180,Ambohimiandra
181,Avaradoha
182,Ankazoto
183,Ambohipo
184,Ambohidava
185,Ambohibary
186,Antsahakely
187,Andranomonina
188,Soavinandriana
189,Ampanotokana
190,Ankosy
191,Volosarika
192,Anjanahary
193,Tsarafaritra
194,Ambatomanoina
195,Ambatomalaza
196,Andranomena
197,Ambohidraserika
198,Ambohimanambola
199,Amboropotsy
200,Ambohitsaratelo
201,Lailava
202,Ankeniheny
203,Ambohimanjaka
204,Isotry
205,Ambatomanana
206,Ankadindratombo
207,Soavinarivo
208,Ambolokandrina
209,Amboniloha
210,Soavimbahoaka
211,Manandriana
212,Ambato
213,Ambilany
214,Ambodimanga
215,Anjanakomboro
216,Soavikanjaka
217,Morondava
218,Ambatomahamanina
219,Antsahafilo
220,Andohan'i
221,Ambodirano
222,Ikopakely
223,Anjezika
224,Fenoarivo
225,Vonelina
226,Ampasika
227,Miantso
228,Anosimasina
229,Sambatra
230,Andafiatsimo
231,Ambohijanahary
232,Faralaza
233,Ankadisarotra
234,Behoririka
235,Anosivavaka
236,Manazary
237,Mandalova
238,Ambanilalana
239,Ambaravarankazo
240,Ambohimahatsinjo
241,Ankadindravola
242,Tsararay
243,Ambohimasina
244,Antanimenakely
245,Ambarindehilahy
246,Bemasoandro
247,Ambohimanatrika
248,Aminampanga
249,Namontana
250,Ambohitrangano
251,Ambodifiakarana
252,Madiorano
253,Andranonomby
254,Mendrikolovana
255,Ambatondralambo
256,I
257,Ambohaja
258,Ambatomanjaka
259,Ambatoharanana
260,Mahavanona
261,Loharanombato
262,Amboasarikely
263,Atsimombohitra
264,III-I
265,Antanetikely
266,Ambohimitsinjo
267,Andriantany
268,Antanetibe
269,Alasora
270,Andranovaky
271,Mahitsitady
272,Ambondrona
273,Mamory
274,Amparibe
275,Soalandy
276,Ambohitrimo
277,Ambony
278,Anosivolakely
279,Iavoambony
280,Manodidina
281,Andravoahangy
282,Vn
283,Gara
284,Mahazoarivo
285,Manohisoa
286,Ambohidrabiby
287,Ambatokaranana
288,Antanety
289,Antanetilava
290,Ambohimpanasina
291,Ambanivohitra
292,Andohatapenaka
293,Tsiadana
294,Antanamalaza
295,Miorikampoza
296,Marokibobo
297,Masindray
298,Anjanadoria
299,Antsahamaina
300,Ambaribe
301,Ambatonaorina
302,Merimandroso
303,Madiomanana
304,IIil
305,Ambohimananjo
306,Mananjara
307,Amboniriana
308,Antsa
309,Amboniandrefana
310,Fiata
311,Isaingy
312,Nord
313,Andrefan'ambohijanahary
314,Andrefambohitra
315,Antsahamasina
316,Beravina
317,Imerikasinina
318,Ambohidranomanga
319,Ankadivoribe
320,Ambohimalaza
321,Sud
322,Ampiriaka
323,Amboniavaratra
324,Ambohitrinibe
325,Vatovandana
326,Ambohidreny
327,Antsahamaro
328,Anjanakinifolo
329,Manjakatompo
330,Ambohitsorohitra
331,Ambohidravaka
332,Falihavana
333,Marohoho
334,Ambohitompo
335,Ambohiparaky
336,Ambatofamamba
337,Androndrabe
338,Ambodifilao
339,Mavolamba
340,Ambohimandroso
341,Ampahateza
