douche_wc,etat_general,loyer_mensuel,meuble,nombre_chambres,nombre_salles_eau,quartier,superficie,surface_terrain,type_d_acces,type_logement
interieur,bon,8500000.0,False,4,4.0,Ambohipotsy Ambohimitsimbina A,500.0,3000.0,voiture_avec_parking,Villa
interieur,bon,5000000.0,False,4,2.0,Ambatoroka,450.0,200.0,voiture_avec_parking,Villa
interieur,bon,2300000.0,False,3,1.0,Ambatobe,300.0,150.0,voiture_avec_parking,Villa
interieur,bon,2500000.0,False,3,1.0,Ambatobe,200.0,100.0,voiture_avec_parking,Villa
interieur,bon,3500000.0,True,2,2.0,Analamahitsy,250.0,200.0,voiture_avec_parking,Villa
interieur,bon,7500000.0,False,4,1.0,Ambatobe,700.0,535.0,voiture_avec_parking,Villa
interieur,bon,10000000.0,False,4,2.0,Ambatobe,450.0,200.0,voiture_avec_parking,Villa
interieur,bon,5500000.0,False,5,2.0,Antsahabe Ankorahotra Ankazoto,300.0,1000.0,voiture_avec_parking,Villa
interieur,bon,4000000.0,False,4,3.0,Manjakamiadana Antsahondra AMB,350.0,100.0,voiture,Villa
interieur,bon,7500000.0,False,4,2.0,Ampandrana Ankadivato,300.0,300.0,voiture,Villa
interieur,bon,3000000.0,False,3,2.0,Tsimialonjafy,350.0,100.0,voiture_avec_parking,Villa
interieur,bon,2000000.0,False,4,2.0,Ambatoroka,120.0,200.0,voiture_avec_parking,Villa
interieur,bon,7000000.0,False,4,2.0,Ambatobe,220.0,500.0,voiture_avec_parking,Villa
interieur,bon,2400000.0,False,3,2.0,Ambatobe,110.0,260.0,voiture_avec_parking,Villa
interieur,bon,12500000.0,False,3,1.0,Lalamby Sy Ny Manodidina,350.0,1200.0,voiture_avec_parking,Villa
interieur,bon,8000000.0,False,5,2.0,Androhibe,160.0,100.0,voiture_avec_parking,Villa
interieur,bon,4000000.0,False,5,3.0,Andoharanofotsy,140.0,150.0,voiture_avec_parking,Villa
interieur,bon,10250000.0,False,4,3.0,Soavimbahoaka,220.0,400.0,voiture_avec_parking,Villa
interieur,bon,6000000.0,True,4,2.0,Ambohimangakely,216.0,300.0,voiture_avec_parking,Villa
interieur,bon,3750000.0,False,4,2.0,Ankerana Ankadindramamy,120.0,120.0,voiture_avec_parking,Villa
interieur,bon,2000000.0,True,3,2.0,Ambohibao,105.0,30.0,voiture_avec_parking,Villa
interieur,bon,2000000.0,False,6,2.0,Ambatobe,140.0,60.0,voiture_avec_parking,Villa
interieur,bon,3250000.0,False,3,2.0,Ambatobe,85.0,80.0,voiture_avec_parking,Villa
interieur,bon,10000000.0,False,4,2.0,Ambatobe,250.0,800.0,voiture_avec_parking,Villa
interieur,bon,4000000.0,True,7,3.0,Ambatobe,230.0,150.0,voiture_avec_parking,Villa
interieur,bon,4000000.0,False,3,2.0,Antsahabe Ankorahotra Ankazoto,160.0,200.0,voiture_avec_parking,Villa
interieur,bon,3500000.0,True,3,2.0,Antkadikely,287.0,2200.0,sans,Villa
interieur,bon,11000000.0,False,4,2.0,Ambatobe,180.0,150.0,voiture_avec_parking,Villa
interieur,bon,4000000.0,False,4,2.0,Andohan'i Mandroseza Ambohibat,135.0,200.0,voiture_avec_parking,Villa
interieur,bon,2700000.0,False,3,3.0,Ambohitrarahaba,150.0,300.0,voiture_avec_parking,Villa
interieur,bon,7500000.0,False,4,2.0,Androhibe,130.0,200.0,voiture_avec_parking,Villa
interieur,bon,12500000.0,False,5,3.0,Ambohibao,979.0,400.0,voiture_avec_parking,Villa
interieur,bon,7500000.0,False,3,3.0,Antanandrano,220.0,1230.0,sans,Villa
exterieur,bon,1500000.0,False,3,1.0,Antsakaviro,100.0,50.0,voiture_avec_parking,Maison
interieur,bon,9000000.0,True,6,4.0,Ambolokandrina 5a,400.0,200.0,voiture_avec_parking,Villa
interieur,bon,7000000.0,False,4,2.0,Ivato Aeroport,240.0,1000.0,voiture_avec_parking,Villa
interieur,bon,4500000.0,False,4,2.0,Ambohibao,300.0,2770.0,voiture_avec_parking,Villa
interieur,bon,4500000.0,False,3,2.0,Andohan'i Mandroseza Ambohibat,230.0,500.0,sans,Villa
interieur,bon,12500000.0,True,4,2.0,Ivato Aeroport,320.0,3500.0,voiture_avec_parking,Villa
interieur,bon,5360000.0,True,6,3.0,Ilafy,500.0,1200.0,voiture_avec_parking,Villa
interieur,bon,5000000.0,False,4,2.0,Ankadindravola,200.0,500.0,voiture_avec_parking,Maison
interieur,bon,4250000.0,False,3,2.0,Ambatobe,50.0,900.0,voiture_avec_parking,Villa
interieur,bon,4000000.0,False,7,3.0,Mahalavolona,200.0,4000.0,voiture_avec_parking,Maison
interieur,bon,4000000.0,True,2,1.0,Antanetibe Est,55.0,1400.0,voiture_avec_parking,Villa
interieur,bon,4000000.0,True,6,2.0,Ankadindravola,250.0,400.0,voiture_avec_parking,Villa
interieur,bon,3500000.0,False,4,2.0,Ambohijanahary,160.0,577.0,voiture_avec_parking,Villa
interieur,bon,20500000.0,False,6,3.0,Ivandry,300.0,1800.0,voiture_avec_parking,Villa
interieur,bon,12500000.0,False,6,2.0,Mandrosoa Ilafy,300.0,3500.0,voiture_avec_parking,Maison
interieur,bon,12500000.0,False,4,3.0,Ambatobe,246.0,700.0,voiture_avec_parking,Villa
interieur,bon,10560000.0,False,0,3.0,Ambohibao,165.0,2800.0,voiture_avec_parking,Villa
interieur,bon,10560000.0,True,6,2.0,Ivandry,200.0,700.0,voiture,Villa
interieur,bon,7380000.0,False,5,3.0,Ivandry,60.0,1000.0,voiture_avec_parking,Villa
