a_etage,cheminee,classification_f,cuve_eau,douche_wc,etat_general,garage_ferme,gardien_securite,groupe_electrogene,loyer_mensuel,meuble,nombre_chambres,nombre_salles_eau,piscine,quartier,superficie,surface_terrain,terrasse_balcon,type_d_acces,type_logement,nom_quartier,id_quartier
False,True,F6,False,interieur,bon,False,False,False,4000000.0,False,5,2.0,False,ivandry,0.0,600.0,True,voiture_avec_parking,Villa,ivandry,139.0
False,False,F5,False,interieur,bon,False,True,False,9000000.0,True,4,2.0,True,ambohimanambola firaisana,0.0,0.0,True,voiture_avec_parking,Villa,ambohimanambola firaisana,237.0
False,False,F4,False,interieur,bon,False,False,False,1700000.0,False,3,2.0,False,ambohimanambola firaisana,0.0,0.0,True,voiture_avec_parking,Villa,ambohimanambola firaisana,237.0
False,False,F6,False,interieur,bon,False,False,False,8500000.0,False,7,2.0,False,ambatobe,0.0,0.0,False,voiture_avec_parking,Villa,ambatobe,143.0
False,False,F6,False,interieur,bon,False,False,False,8500000.0,False,7,2.0,False,ambatobe,0.0,0.0,False,voiture_avec_parking,Villa,ambatobe,499.0
False,False,F6,False,interieur,bon,False,False,False,8500000.0,False,7,2.0,False,ambatobe,0.0,0.0,False,voiture_avec_parking,Villa,ambatobe,550.0
False,False,F5,False,interieur,bon,True,False,False,3200000.0,True,4,2.0,False,ambatobe,0.0,0.0,True,voiture_avec_parking,Villa,ambatobe,143.0
False,False,F5,False,interieur,bon,True,False,False,3200000.0,True,4,2.0,False,ambatobe,0.0,0.0,True,voiture_avec_parking,Villa,ambatobe,499.0
False,False,F5,False,interieur,bon,True,False,False,3200000.0,True,4,2.0,False,ambatobe,0.0,0.0,True,voiture_avec_parking,Villa,ambatobe,550.0
True,False,F5,True,interieur,bon,False,True,True,7000000.0,False,4,2.0,True,ambohimanambola firaisana,0.0,0.0,True,voiture_avec_parking,Villa,ambohimanambola firaisana,237.0
False,False,F6,True,interieur,bon,False,False,False,5400000.0,False,5,5.0,False,ambatobe,0.0,0.0,True,voiture_avec_parking,Villa,ambatobe,143.0
False,False,F6,True,interieur,bon,False,False,False,5400000.0,False,5,5.0,False,ambatobe,0.0,0.0,True,voiture_avec_parking,Villa,ambatobe,499.0
False,False,F6,True,interieur,bon,False,False,False,5400000.0,False,5,5.0,False,ambatobe,0.0,0.0,True,voiture_avec_parking,Villa,ambatobe,550.0
False,True,F4,False,interieur,bon,False,False,False,3500000.0,False,3,2.0,False,ambohibao,0.0,0.0,True,voiture_avec_parking,Villa,ambohibao,360.0
False,True,F4,False,interieur,bon,False,False,False,3500000.0,False,3,2.0,False,ambohibao,0.0,0.0,True,voiture_avec_parking,Villa,ambohibao,439.0
False,True,F4,False,interieur,bon,False,False,False,3500000.0,False,3,2.0,False,ambohibao,0.0,0.0,True,voiture_avec_parking,Villa,ambohibao,675.0
False,True,F4,False,interieur,bon,False,False,False,3500000.0,False,3,2.0,False,ambohibao,0.0,0.0,True,voiture_avec_parking,Villa,ambohibao,870.0
False,False,F4,True,interieur,bon,False,True,True,7500000.0,False,3,3.0,False,andohalo,0.0,0.0,True,voiture_avec_parking,Appartement,,
False,False,F5,True,interieur,bon,False,False,False,6000000.0,False,4,3.0,False,ambatobe,0.0,0.0,True,voiture_avec_parking,Villa,ambatobe,143.0
False,False,F5,True,interieur,bon,False,False,False,6000000.0,False,4,3.0,False,ambatobe,0.0,0.0,True,voiture_avec_parking,Villa,ambatobe,499.0
False,False,F5,True,interieur,bon,False,False,False,6000000.0,False,4,3.0,False,ambatobe,0.0,0.0,True,voiture_avec_parking,Villa,ambatobe,550.0
False,False,F4,False,interieur,bon,True,False,False,4000000.0,True,3,2.0,False,ambatolampy tsimahafotsy,0.0,0.0,True,voiture_avec_parking,Villa,ambatolampy tsimahafotsy,539.0
False,True,F5,False,interieur,bon,False,False,False,1400000.0,False,4,2.0,False,ambohimirary,0.0,0.0,False,voiture_avec_parking,Villa,ambohimirary,156.0
False,False,F3,False,interieur,bon,False,True,False,2500000.0,False,2,1.0,False,ankerana ankadindramamy,0.0,0.0,False,voiture_avec_parking,Appartement,ankerana ankadindramamy,153.0
False,False,F2,False,interieur,bon,False,False,False,1300000.0,True,1,1.0,False,mahazoarivo,0.0,0.0,False,voiture_avec_parking,Appartement,,
False,True,F3,False,interieur,bon,True,True,False,5600000.0,False,2,1.0,False,alarobia,0.0,0.0,True,voiture_avec_parking,Villa,alarobia,592.0
False,True,F4,False,interieur,bon,False,False,False,900000.0,True,3,1.0,False,ambohipo tanana ampahateza and,0.0,0.0,True,voiture_avec_parking,Appartement,ambohipo tanana ampahateza and,57.0
False,False,F4,True,interieur,bon,False,False,True,2400000.0,False,3,2.0,False,ankerana ankadindramamy,0.0,0.0,True,sans,Appartement,ankerana ankadindramamy,153.0
False,True,F6,False,interieur,bon,False,False,False,3000000.0,False,4,2.0,False,andohanimandroseza ambohibat,0.0,0.0,True,voiture_avec_parking,Villa,,
False,False,F2,False,interieur,bon,False,False,False,1500000.0,False,1,1.0,False,ambatolampy tsimahafotsy,0.0,0.0,True,voiture_avec_parking,Appartement,ambatolampy tsimahafotsy,539.0
False,False,F4,False,interieur,bon,False,True,False,2500000.0,True,3,2.0,False,mahamasina atsimo,0.0,0.0,False,voiture_avec_parking,Appartement,mahamasina atsimo,113.0
False,False,F4,True,interieur,bon,False,True,True,10000000.0,False,3,4.0,True,andrefan'ankadimbahoaka,0.0,0.0,True,voiture_avec_parking,Villa,andrefan'ankadimbahoaka,132.0
False,True,F6,False,interieur,bon,True,True,False,7500000.0,False,5,5.0,False,tsarasaotra,0.0,0.0,True,voiture_avec_parking,Villa,tsarasaotra,532.0
False,False,F5,False,interieur,bon,True,False,False,4275000.0,False,4,2.0,True,ampitatafika vaovao,0.0,0.0,True,voiture_avec_parking,Villa,ampitatafika vaovao,714.0
False,False,F4,False,interieur,bon,False,False,False,800000.0,False,3,1.0,False,ifarihy,0.0,0.0,False,voiture_avec_parking,Appartement,ifarihy,785.0
False,True,F5,False,interieur,bon,True,False,False,6000000.0,False,4,3.0,False,ambatobe,0.0,0.0,True,voiture_avec_parking,Villa,ambatobe,143.0
False,True,F5,False,interieur,bon,True,False,False,6000000.0,False,4,3.0,False,ambatobe,0.0,0.0,True,voiture_avec_parking,Villa,ambatobe,499.0
False,True,F5,False,interieur,bon,True,False,False,6000000.0,False,4,3.0,False,ambatobe,0.0,0.0,True,voiture_avec_parking,Villa,ambatobe,550.0
False,False,F2,False,interieur,bon,False,False,False,1500000.0,False,1,1.0,False,soarano ambondrona,0.0,0.0,True,voiture_avec_parking,Appartement,,
False,False,F3,False,interieur,bon,False,False,False,2500000.0,False,2,1.0,False,ambohimiandra fenomanana antsa,0.0,0.0,True,voiture_avec_parking,Appartement,ambohimiandra fenomanana antsa,61.0
False,False,F4,False,interieur,bon,False,True,False,2500000.0,False,3,2.0,False,mandrosoa ivato,0.0,0.0,False,voiture_avec_parking,Appartement,mandrosoa ivato,457.0
False,False,F5,False,interieur,bon,False,False,False,600000.0,False,4,1.0,False,ambatomainty,0.0,0.0,False,voiture_avec_parking,Appartement,ambatomainty,134.0
False,False,F5,False,interieur,bon,False,False,False,600000.0,False,4,1.0,False,ambatomainty,0.0,0.0,False,voiture_avec_parking,Appartement,ambatomainty,451.0
False,False,F5,False,interieur,bon,False,False,False,600000.0,False,4,1.0,False,ambatomainty,0.0,0.0,False,voiture_avec_parking,Appartement,ambatomainty,467.0
